,Year,Taxon,Importer,Exporter,Origin,Term,Unit,Quantity,Region,Number,Purpose
0,1977,Manis pentadactyla,AU,CN,,live,,2.0,Asian,2.0,whole
1,1978,Manis crassicaudata,US,JP,XX,skins,,298.0,Asian,298.0,skins
2,1978,Manis javanica,US,JP,XX,skins,,1016.0,Asian,1016.0,skins
3,1978,Manis javanica,US,TH,,live,,1.0,Asian,1.0,whole
4,1978,Manis pentadactyla,AU,SG,,leather products (small),,1.0,Asian,1.0,skins
5,1978,Manis pentadactyla,US,CN,,skins,,350.0,Asian,350.0,skins
6,1978,Manis pentadactyla,US,JP,XX,skins,,3331.0,Asian,3331.0,skins
7,1979,Manis crassicaudata,US,JP,CN,skins,,70.0,Asian,70.0,skins
8,1979,Manis crassicaudata,US,JP,XX,skins,,5120.0,Asian,5120.0,skins
9,1979,Manis javanica,US,ID,,skins,,973.0,Asian,973.0,skins
10,1979,Manis javanica,US,JP,ID,skins,,1489.0,Asian,1489.0,skins
11,1979,Manis javanica,US,JP,XX,skins,,2448.0,Asian,2448.0,skins
12,1979,Manis javanica,US,MY,,skins,,499.0,Asian,499.0,skins
13,1979,Manis pentadactyla,US,JP,ID,skins,,1490.0,Asian,1490.0,skins
14,1979,Manis pentadactyla,US,JP,XX,skins,,1247.0,Asian,1247.0,skins
15,1979,Manis pentadactyla,US,TW,CN,skins,,500.0,Asian,500.0,skins
16,1980,Manis spp.,US,TW,XX,leather products (small),,1.0,Asian,1.0,skins
17,1980,Manis crassicaudata,US,JP,ID,skins,,1553.0,Asian,1553.0,skins
18,1980,Manis crassicaudata,US,JP,SG,skins,,385.0,Asian,385.0,skins
19,1980,Manis crassicaudata,US,JP,XX,skins,,472.0,Asian,472.0,skins
20,1980,Manis crassicaudata,US,JP,XX,skins,,685.0,Asian,685.0,skins
21,1980,Manis crassicaudata,US,JP,,skins,,400.0,Asian,400.0,skins
22,1980,Manis javanica,US,ID,,skins,,750.0,Asian,750.0,skins
23,1980,Manis javanica,US,JP,ID,live,,450.0,Asian,450.0,whole
24,1980,Manis javanica,US,JP,ID,skins,,5436.0,Asian,5436.0,skins
25,1980,Manis javanica,US,JP,MY,skins,,4331.0,Asian,4331.0,skins
26,1980,Manis javanica,US,JP,SG,skins,,757.0,Asian,757.0,skins
27,1980,Manis javanica,US,JP,XX,skins,m,178.0,Asian,149.0,skins
28,1980,Manis javanica,US,JP,XX,skins,,908.0,Asian,908.0,skins
29,1980,Manis javanica,US,JP,XX,skins,,2989.0,Asian,2989.0,skins
30,1980,Manis javanica,US,JP,XX,skin pieces,m,184.0,Asian,154.0,skins
31,1980,Manis javanica,US,JP,,skins,,5582.0,Asian,5582.0,skins
32,1980,Manis javanica,US,SG,TH,skins,,100.0,Asian,100.0,skins
33,1980,Manis javanica,US,SG,XX,skins,,800.0,Asian,800.0,skins
34,1980,Manis javanica,US,TH,,leather products (small),,12.0,Asian,6.0,skins
35,1980,Manis javanica,US,TH,,skins,,14.0,Asian,14.0,skins
36,1980,Manis javanica,US,TW,MY,skins,,300.0,Asian,300.0,skins
37,1980,Manis javanica,US,XX,KR,skins,,1.0,Asian,1.0,skins
38,1980,Manis pentadactyla,US,JP,ID,skins,,6471.0,Asian,6471.0,skins
39,1980,Manis pentadactyla,US,JP,ID,skin pieces,m,50.0,Asian,42.0,skins
40,1980,Manis pentadactyla,US,JP,TW,skins,,48.0,Asian,48.0,skins
41,1980,Manis pentadactyla,US,JP,XX,skins,cm,122.0,Asian,2.0,skins
42,1980,Manis pentadactyla,US,JP,XX,skins,,550.0,Asian,550.0,skins
43,1980,Manis pentadactyla,US,JP,,skins,,1382.0,Asian,1382.0,skins
44,1980,Manis pentadactyla,US,TW,ID,skins,,800.0,Asian,800.0,skins
45,1980,Manis pentadactyla,US,TW,,skins,,550.0,Asian,550.0,skins
46,1981,Manis spp.,HK,XX,,bodies,,11.0,Other,11.0,whole
47,1981,Manis spp.,HK,XX,,live,,29.0,Other,29.0,whole
48,1981,Manis spp.,HK,XX,,skin pieces,cartons,1.0,Other,11.0,skins
49,1981,Manis spp.,US,PH,,bodies,,1.0,Asian,1.0,whole
50,1981,Manis spp.,US,TH,XX,shoes,,1.0,Asian,1.0,trophy
51,1981,Manis spp.,US,TH,,shoes,,6.0,Asian,6.0,trophy
52,1981,Manis spp.,US,TH,,leather items,,4.0,Asian,4.0,skins
53,1981,Manis spp.,US,XX,TH,shoes,,4.0,Asian,4.0,trophy
54,1981,Manis spp.,US,XX,TH,leather items,,4.0,Asian,4.0,skins
55,1981,Manis crassicaudata,US,JP,IN,skins,,252.0,Asian,252.0,skins
56,1981,Manis crassicaudata,US,JP,MY,skins,,673.0,Asian,673.0,skins
57,1981,Manis crassicaudata,US,JP,SG,skins,,76.0,Asian,76.0,skins
58,1981,Manis crassicaudata,US,JP,,skins,cm,28032.0,Asian,234.0,skins
59,1981,Manis crassicaudata,US,JP,,skins,,884.0,Asian,884.0,skins
60,1981,Manis javanica,JP,ID,,skins,,26.0,Asian,26.0,skins
61,1981,Manis javanica,JP,TH,,skins,kg,170.0,Asian,174.0,skins
62,1981,Manis javanica,JP,TH,,skins,,6428.0,Asian,6428.0,skins
63,1981,Manis javanica,US,JP,ID,skins,,2763.0,Asian,2763.0,skins
64,1981,Manis javanica,US,JP,MY,skins,cm,19794.0,Asian,165.0,skins
65,1981,Manis javanica,US,JP,MY,skins,,2980.0,Asian,2980.0,skins
66,1981,Manis javanica,US,JP,PH,skins,,300.0,Asian,300.0,skins
67,1981,Manis javanica,US,JP,TH,skins,,300.0,Asian,300.0,skins
68,1981,Manis javanica,US,JP,XX,skins,,400.0,Asian,400.0,skins
69,1981,Manis javanica,US,JP,,skins,cm,29904.0,Asian,250.0,skins
70,1981,Manis javanica,US,JP,,skins,,8325.0,Asian,8325.0,skins
71,1981,Manis javanica,US,SG,ID,skins,,6250.0,Asian,6250.0,skins
72,1981,Manis javanica,US,SG,MY,skins,,500.0,Asian,500.0,skins
73,1981,Manis javanica,US,SG,TH,skins,,13950.0,Asian,13950.0,skins
74,1981,Manis javanica,US,SG,XX,skins,,5200.0,Asian,5200.0,skins
75,1981,Manis javanica,US,SG,,skins,,3300.0,Asian,3300.0,skins
76,1981,Manis javanica,US,TH,,skins,,1.0,Asian,1.0,skins
77,1981,Manis javanica,US,TW,MY,skins,,1150.0,Asian,1150.0,skins
78,1981,Manis javanica,US,XX,,skins,,1600.0,Asian,1600.0,skins
79,1981,Manis pentadactyla,CA,JP,,skins,,3.0,Asian,3.0,skins
80,1981,Manis pentadactyla,IT,TW,,skins,,185.0,Asian,185.0,skins
81,1981,Manis pentadactyla,JP,TH,,skins,,779.0,Asian,779.0,skins
82,1981,Manis pentadactyla,US,JP,CN,skins,cm,10060.0,Asian,84.0,skins
83,1981,Manis pentadactyla,US,JP,CN,skins,,805.0,Asian,805.0,skins
84,1981,Manis pentadactyla,US,JP,ID,skins,,760.0,Asian,760.0,skins
85,1981,Manis pentadactyla,US,JP,,skins,cm,60623.0,Asian,506.0,skins
86,1981,Manis pentadactyla,US,JP,,skins,,8367.0,Asian,8367.0,skins
87,1981,Manis pentadactyla,US,TW,CN,skins,,900.0,Asian,900.0,skins
88,1981,Manis pentadactyla,US,TW,ID,skins,cm,11714.0,Asian,98.0,skins
89,1981,Manis pentadactyla,US,TW,ID,skins,,2200.0,Asian,2200.0,skins
90,1981,Manis pentadactyla,US,TW,IN,skins,,300.0,Asian,300.0,skins
91,1981,Manis pentadactyla,US,TW,MY,skins,,1436.0,Asian,1436.0,skins
92,1981,Manis pentadactyla,US,TW,SG,skins,,1.0,Asian,1.0,skins
93,1981,Manis pentadactyla,US,TW,XX,skins,,450.0,Asian,450.0,skins
94,1981,Manis pentadactyla,US,TW,,skins,cm,18921.0,Asian,158.0,skins
95,1981,Manis pentadactyla,US,TW,,skins,,2000.0,Asian,2000.0,skins
96,1981,Manis pentadactyla,US,XX,MX,leather items,,1.0,Asian,1.0,skins
97,1981,Manis pentadactyla,US,XX,TH,leather items,,1.0,Asian,1.0,skins
98,1982,Manis spp.,US,PH,,skins,,1218.0,Asian,1218.0,skins
99,1982,Manis spp.,US,TH,XX,leather products (small),,1.0,Asian,1.0,skins
100,1982,Manis spp.,US,TH,XX,leather items,,1.0,Asian,1.0,skins
101,1982,Manis spp.,US,TH,,leather items,,2.0,Asian,2.0,skins
102,1982,Manis spp.,US,XX,,leather items,,1.0,Other,1.0,skins
103,1982,Manis crassicaudata,US,JP,XX,skins,cm,11840.0,Asian,99.0,skins
104,1982,Manis javanica,FR,JP,,skins,,5.0,Asian,5.0,skins
105,1982,Manis javanica,IT,SG,XX,skins,,1200.0,Asian,1200.0,skins
106,1982,Manis javanica,JP,PH,,skins,,4212.0,Asian,4212.0,skins
107,1982,Manis javanica,JP,SG,ID,skins,,200.0,Asian,200.0,skins
108,1982,Manis javanica,JP,SG,TH,skins,,14580.0,Asian,14580.0,skins
109,1982,Manis javanica,JP,SG,,skins,,240.0,Asian,240.0,skins
110,1982,Manis javanica,JP,TH,,skins,,1167.0,Asian,1167.0,skins
111,1982,Manis javanica,US,JP,ID,skins,,906.0,Asian,906.0,skins
112,1982,Manis javanica,US,JP,MY,skins,cm,5210.0,Asian,44.0,skins
113,1982,Manis javanica,US,JP,MY,skins,,4058.0,Asian,4058.0,skins
114,1982,Manis javanica,US,JP,SG,skins,,1285.0,Asian,1285.0,skins
115,1982,Manis javanica,US,JP,XX,skins,cm,36.0,Asian,1.0,skins
116,1982,Manis javanica,US,JP,XX,skins,,7408.0,Asian,7408.0,skins
117,1982,Manis javanica,US,JP,,skins,,500.0,Asian,500.0,skins
118,1982,Manis javanica,US,SG,TH,skins,,3545.0,Asian,3545.0,skins
119,1982,Manis javanica,US,SG,XX,skins,,500.0,Asian,500.0,skins
120,1982,Manis javanica,US,TH,,skins,,600.0,Asian,600.0,skins
121,1982,Manis javanica,US,XX,TH,skin pieces,,1.0,Asian,2.0,skins
122,1982,Manis pentadactyla,FR,JP,XX,skins,cm,24.0,Asian,1.0,skins
123,1982,Manis pentadactyla,JP,CN,,live,,5.0,Asian,5.0,whole
124,1982,Manis pentadactyla,JP,CN,,skins,,350.0,Asian,350.0,skins
125,1982,Manis pentadactyla,US,ID,,bodies,,1.0,Asian,1.0,whole
126,1982,Manis pentadactyla,US,JP,ID,skins,,425.0,Asian,425.0,skins
127,1982,Manis pentadactyla,US,JP,XX,skins,,837.0,Asian,837.0,skins
128,1982,Manis pentadactyla,US,TH,,skins,,150.0,Asian,150.0,skins
129,1982,Manis pentadactyla,US,TW,CN,skins,,550.0,Asian,550.0,skins
130,1982,Manis pentadactyla,US,TW,ID,skins,,500.0,Asian,500.0,skins
131,1982,Manis pentadactyla,US,TW,SG,skins,,150.0,Asian,150.0,skins
132,1982,Manis pentadactyla,US,TW,,skins,,1250.0,Asian,1250.0,skins
133,1983,Manis spp.,US,PH,,skins,,4.0,Asian,4.0,skins
134,1983,Manis spp.,US,TH,XX,leather products (small),,2.0,Asian,1.0,skins
135,1983,Manis spp.,US,TH,XX,shoes,,1.0,Asian,1.0,trophy
136,1983,Manis spp.,US,TH,,shoes,,2.0,Asian,2.0,trophy
137,1983,Manis spp.,US,XX,,shoes,,1.0,Other,1.0,trophy
138,1983,Manis spp.,US,XX,,shoes,,4.0,Other,4.0,trophy
139,1983,Manis crassicaudata,FR,JP,XX,skins,,6.0,Asian,6.0,skins
140,1983,Manis crassicaudata,JP,SG,TH,skins,,700.0,Asian,700.0,skins
141,1983,Manis javanica,CH,JP,XX,leather,pieces,8.0,Asian,8.0,skins
142,1983,Manis javanica,FR,JP,XX,leather,pieces,12.0,Asian,12.0,skins
143,1983,Manis javanica,IT,SG,TH,skins,,600.0,Asian,600.0,skins
144,1983,Manis javanica,JP,SG,TH,skins,,350.0,Asian,350.0,skins
145,1983,Manis javanica,JP,TH,,skins,,310.0,Asian,310.0,skins
146,1983,Manis javanica,US,JP,ID,skins,,448.0,Asian,448.0,skins
147,1983,Manis javanica,US,JP,IN,skins,,250.0,Asian,250.0,skins
148,1983,Manis javanica,US,JP,MY,skins,,422.0,Asian,422.0,skins
149,1983,Manis javanica,US,JP,PH,skins,,8.0,Asian,8.0,skins
150,1983,Manis javanica,US,JP,PH,skin pieces,,16.0,Asian,17.0,skins
151,1983,Manis javanica,US,JP,SG,skins,,200.0,Asian,200.0,skins
152,1983,Manis javanica,US,JP,TH,skins,,200.0,Asian,200.0,skins
153,1983,Manis javanica,US,JP,XX,leather,pieces,800.0,Asian,800.0,skins
154,1983,Manis javanica,US,JP,XX,skins,cm,30.0,Asian,1.0,skins
155,1983,Manis javanica,US,JP,XX,skins,m2,59.0,Asian,50.0,skins
156,1983,Manis javanica,US,JP,XX,skins,m,66.0,Asian,55.0,skins
157,1983,Manis javanica,US,JP,XX,skins,,3569.0,Asian,3569.0,skins
158,1983,Manis javanica,US,JP,,skins,,835.0,Asian,835.0,skins
159,1983,Manis javanica,US,SG,TH,shoes,,100.0,Asian,100.0,trophy
160,1983,Manis javanica,US,SG,TH,skins,,1750.0,Asian,1750.0,skins
161,1983,Manis javanica,US,SG,,shoes,,7.0,Asian,7.0,trophy
162,1983,Manis javanica,US,SG,,skins,,2556.0,Asian,2556.0,skins
163,1983,Manis javanica,US,TH,XX,shoes,,1.0,Asian,1.0,trophy
164,1983,Manis javanica,US,TH,,shoes,,3.0,Asian,3.0,trophy
165,1983,Manis javanica,US,TH,,skins,,150.0,Asian,150.0,skins
166,1983,Manis javanica,US,XX,SG,skin pieces,,900.0,Asian,919.0,skins
167,1983,Manis javanica,US,XX,TH,skins,,83.0,Asian,83.0,skins
168,1983,Manis pentadactyla,CA,JP,XX,skins,,12.0,Asian,12.0,skins
169,1983,Manis pentadactyla,FR,JP,XX,skins,,1.0,Asian,1.0,skins
170,1983,Manis pentadactyla,JP,CN,,live,,5.0,Asian,5.0,whole
171,1983,Manis pentadactyla,JP,SG,TH,skins,,800.0,Asian,800.0,skins
172,1983,Manis pentadactyla,US,CN,,live,,4.0,Asian,4.0,whole
173,1983,Manis pentadactyla,US,JP,BO,leather items,,3.0,Asian,3.0,skins
174,1983,Manis pentadactyla,US,JP,ID,leather products (small),,8.0,Asian,4.0,skins
175,1983,Manis pentadactyla,US,JP,ID,leather items,,12.0,Asian,12.0,skins
176,1983,Manis pentadactyla,US,JP,TH,skins,kg,42.0,Asian,59.0,skins
177,1983,Manis pentadactyla,US,JP,XX,skins,,334.0,Asian,334.0,skins
178,1983,Manis pentadactyla,US,JP,XX,leather items,,4.0,Asian,4.0,skins
179,1983,Manis pentadactyla,US,TW,SG,skins,,1000.0,Asian,1000.0,skins
180,1983,Manis pentadactyla,US,TW,XX,leather products (small),,41.0,Asian,21.0,skins
181,1983,Manis pentadactyla,US,TW,XX,skins,,300.0,Asian,300.0,skins
182,1983,Manis pentadactyla,US,TW,XX,leather items,,40.0,Asian,40.0,skins
183,1983,Manis pentadactyla,US,TW,XX,skin pieces,,231.0,Asian,321.0,skins
184,1983,Manis pentadactyla,US,TW,,skins,,1500.0,Asian,1500.0,skins
185,1984,Manis spp.,CA,XX,,skins,,3.0,Other,3.0,skins
186,1984,Manis spp.,HK,XX,,unspecified,kg,2.0,Other,1.0,derivatives
187,1984,Manis spp.,US,LA,,derivatives,,1.0,Asian,1.0,derivatives
188,1984,Manis spp.,US,PH,,shoes,,32.0,Asian,32.0,trophy
189,1984,Manis crassicaudata,US,TW,XX,leather products (small),,1.0,Asian,1.0,skins
190,1984,Manis javanica,FR,JP,XX,skins,,12.0,Asian,12.0,skins
191,1984,Manis javanica,HK,XX,,bodies,,1.0,Asian,1.0,whole
192,1984,Manis javanica,JP,ID,,skins,,47.0,Asian,47.0,skins
193,1984,Manis javanica,JP,MY,,skins,,500.0,Asian,500.0,skins
194,1984,Manis javanica,JP,TH,,skins,,1740.0,Asian,1740.0,skins
195,1984,Manis javanica,US,JP,CO,leather products (small),,300.0,Asian,150.0,skins
196,1984,Manis javanica,US,JP,ID,skins,,1076.0,Asian,1076.0,skins
197,1984,Manis javanica,US,JP,ID,leather items,,4.0,Asian,4.0,skins
198,1984,Manis javanica,US,JP,MY,skin pieces,,241.0,Asian,246.0,skins
199,1984,Manis javanica,US,JP,PH,skins,,407.0,Asian,407.0,skins
200,1984,Manis javanica,US,JP,TH,skins,,865.0,Asian,865.0,skins
201,1984,Manis javanica,US,JP,TH,leather items,,66.0,Asian,66.0,skins
202,1984,Manis javanica,US,JP,XX,leather products (small),,75.0,Asian,38.0,skins
203,1984,Manis javanica,US,JP,XX,skins,,4632.0,Asian,4632.0,skins
204,1984,Manis javanica,US,JP,XX,skin pieces,,424.0,Asian,433.0,skins
205,1984,Manis javanica,US,JP,,skins,,500.0,Asian,500.0,skins
206,1984,Manis javanica,US,PH,XX,shoes,,1.0,Asian,1.0,trophy
207,1984,Manis javanica,US,PH,XX,skins,,31.0,Asian,31.0,skins
208,1984,Manis javanica,US,TH,,shoes,,1.0,Asian,1.0,trophy
209,1984,Manis javanica,US,TH,,shoes,,1.0,Asian,1.0,trophy
210,1984,Manis javanica,US,TH,,leather items,,1.0,Asian,1.0,skins
211,1984,Manis javanica,US,ZA,TH,shoes,,6.0,Asian,6.0,trophy
212,1984,Manis pentadactyla,CA,JP,ID,leather products (small),,20.0,Asian,10.0,skins
213,1984,Manis pentadactyla,CA,JP,TH,leather products (small),,50.0,Asian,25.0,skins
214,1984,Manis pentadactyla,FR,JP,TH,skins,,9.0,Asian,9.0,skins
215,1984,Manis pentadactyla,FR,JP,XX,skins,,5.0,Asian,5.0,skins
216,1984,Manis pentadactyla,HK,XX,,live,,1.0,Asian,1.0,whole
217,1984,Manis pentadactyla,HK,XX,,skins,,1.0,Asian,1.0,skins
218,1984,Manis pentadactyla,JP,CN,,live,,5.0,Asian,5.0,whole
219,1984,Manis pentadactyla,JP,TH,,skins,,650.0,Asian,650.0,skins
220,1984,Manis pentadactyla,US,CN,,live,,4.0,Asian,4.0,whole
221,1984,Manis pentadactyla,US,HK,CN,live,,4.0,Asian,4.0,whole
222,1984,Manis pentadactyla,US,JP,ID,leather products (small),,8.0,Asian,4.0,skins
223,1984,Manis pentadactyla,US,JP,ID,shoes,,14.0,Asian,14.0,trophy
224,1984,Manis pentadactyla,US,JP,ID,skins,,420.0,Asian,420.0,skins
225,1984,Manis pentadactyla,US,JP,ID,leather items,,7.0,Asian,7.0,skins
226,1984,Manis pentadactyla,US,JP,TH,skins,,992.0,Asian,992.0,skins
227,1984,Manis pentadactyla,US,JP,TH,leather items,,4.0,Asian,4.0,skins
228,1984,Manis pentadactyla,US,JP,US,leather products (small),,38.0,Asian,19.0,skins
229,1984,Manis pentadactyla,US,KR,CN,shoes,,48.0,Asian,48.0,trophy
230,1984,Manis pentadactyla,US,KR,ID,skins,kg,30.0,Asian,42.0,skins
231,1984,Manis pentadactyla,US,KR,,shoes,,48.0,Asian,48.0,trophy
232,1984,Manis pentadactyla,US,TW,SG,skins,,520.0,Asian,520.0,skins
233,1984,Manis pentadactyla,US,TW,TH,skins,,1860.0,Asian,1860.0,skins
234,1984,Manis gigantea,US,TG,,live,,4.0,African,4.0,whole
235,1985,Manis temminckii,FR,CG,,bodies,,1.0,African,1.0,whole
236,1985,Manis temminckii,US,ZA,,bodies,,1.0,African,1.0,whole
237,1985,Manis spp.,US,TG,,live,,12.0,African,12.0,whole
238,1985,Manis javanica,FR,JP,TH,skin pieces,,8.0,Asian,9.0,skins
239,1985,Manis javanica,JP,PH,,skins,,1570.0,Asian,1570.0,skins
240,1985,Manis javanica,JP,SG,MY,skins,,500.0,Asian,500.0,skins
241,1985,Manis javanica,JP,SG,TH,skins,,4030.0,Asian,4030.0,skins
242,1985,Manis javanica,JP,SG,,skins,,8530.0,Asian,8530.0,skins
243,1985,Manis javanica,JP,TW,,skins,m,900.0,Asian,750.0,skins
244,1985,Manis javanica,JP,TW,,skins,,500.0,Asian,500.0,skins
245,1985,Manis javanica,US,JP,ID,skins,,48.0,Asian,48.0,skins
246,1985,Manis javanica,US,JP,PH,leather items,,300.0,Asian,300.0,skins
247,1985,Manis javanica,US,JP,SG,skins,,487.0,Asian,487.0,skins
248,1985,Manis javanica,US,JP,TG,skins,,500.0,Asian,500.0,skins
249,1985,Manis javanica,US,JP,TH,skins,,7550.0,Asian,7550.0,skins
250,1985,Manis javanica,US,JP,TH,skin pieces,,4940.0,Asian,5041.0,skins
251,1985,Manis javanica,US,PH,XX,skins,,50.0,Asian,50.0,skins
252,1985,Manis javanica,US,SG,ID,skins,,3522.0,Asian,3522.0,skins
253,1985,Manis javanica,US,SG,TH,skins,,5302.0,Asian,5302.0,skins
254,1985,Manis javanica,US,SG,,shoes,,144.0,Asian,144.0,trophy
255,1985,Manis javanica,US,SG,,skins,,2195.0,Asian,2195.0,skins
256,1985,Manis javanica,US,TH,,meat,,1.0,Asian,1.0,consumption
257,1985,Manis javanica,US,TH,,shoes,,90.0,Asian,90.0,trophy
258,1985,Manis javanica,US,TH,,shoes,,1.0,Asian,1.0,trophy
259,1985,Manis pentadactyla,JP,CN,,live,,5.0,Asian,5.0,whole
260,1985,Manis pentadactyla,JP,CN,,specimens,,3.0,Asian,3.0,whole
261,1985,Manis pentadactyla,JP,TW,,skins,,1000.0,Asian,1000.0,skins
262,1985,Manis pentadactyla,US,HK,XX,derivatives,,480.0,Asian,134.0,derivatives
263,1985,Manis pentadactyla,US,JP,SG,skins,,496.0,Asian,496.0,skins
264,1985,Manis pentadactyla,US,JP,TH,skins,,1002.0,Asian,1002.0,skins
265,1985,Manis pentadactyla,US,TH,,shoes,,1.0,Asian,1.0,trophy
266,1985,Manis pentadactyla,US,TW,TH,leather items,,12.0,Asian,12.0,skins
267,1985,Manis pentadactyla,US,TW,TH,leather items,,12.0,Asian,12.0,skins
268,1985,Manis tricuspis,US,TG,,live,,3.0,African,3.0,whole
269,1985,Manis tricuspis,XX,CF,,trophies,,1.0,African,1.0,trophy
270,1986,Manis spp.,PL,TG,,live,,2.0,African,2.0,whole
271,1986,Manis spp.,US,TG,,live,,4.0,African,4.0,whole
272,1986,Manis crassicaudata,US,SG,XX,shoes,,1.0,Asian,1.0,trophy
273,1986,Manis javanica,CH,JP,TH,skins,,21.0,Asian,21.0,skins
274,1986,Manis javanica,FR,JP,TH,skins,,5.0,Asian,5.0,skins
275,1986,Manis javanica,FR,JP,TH,skins,,49.0,Asian,49.0,skins
276,1986,Manis javanica,GB,SG,MY,bodies,,1.0,Asian,1.0,whole
277,1986,Manis javanica,HK,JP,TH,skins,,5.0,Asian,5.0,skins
278,1986,Manis javanica,IT,JP,TH,shoes,,1.0,Asian,1.0,trophy
279,1986,Manis javanica,IT,JP,TH,skins,,41.0,Asian,41.0,skins
280,1986,Manis javanica,JP,HK,TH,skins,,10.0,Asian,10.0,skins
281,1986,Manis javanica,JP,PH,,skins,,576.0,Asian,576.0,skins
282,1986,Manis javanica,JP,SG,,skins,,12300.0,Asian,12300.0,skins
283,1986,Manis javanica,US,JP,PH,skins,,777.0,Asian,777.0,skins
284,1986,Manis javanica,US,JP,TH,skins,,10477.0,Asian,10477.0,skins
285,1986,Manis javanica,US,SG,ID,skins,,940.0,Asian,940.0,skins
286,1986,Manis javanica,US,SG,TH,skins,,2384.0,Asian,2384.0,skins
287,1986,Manis javanica,US,SG,TH,skin pieces,,1500.0,Asian,1531.0,skins
288,1986,Manis javanica,US,TH,XX,shoes,,1.0,Asian,1.0,trophy
289,1986,Manis javanica,ZA,JP,TH,skins,,4.0,Asian,4.0,skins
290,1986,Manis pentadactyla,FR,JP,TH,skins,,5.0,Asian,5.0,skins
291,1986,Manis pentadactyla,HK,JP,TH,skins,,5.0,Asian,5.0,skins
292,1986,Manis pentadactyla,JP,HK,TH,skins,,5.0,Asian,5.0,skins
293,1986,Manis pentadactyla,US,JP,SG,skins,,50.0,Asian,50.0,skins
294,1986,Manis pentadactyla,US,JP,TH,skins,,300.0,Asian,300.0,skins
295,1986,Manis tetradactyla,FR,CM,,leather items,,1.0,African,1.0,skins
296,1986,Manis tricuspis,US,TG,,live,,15.0,African,15.0,whole
297,1987,Manis spp.,US,TG,,live,,5.0,African,5.0,whole
298,1987,Manis spp.,US,TH,XX,shoes,,2.0,Asian,2.0,trophy
299,1987,Manis spp.,US,TH,XX,leather items,,3.0,Asian,3.0,skins
300,1987,Manis javanica,FR,JP,TH,skins,,9.0,Asian,9.0,skins
